0.000000,-19.000000,258.000000,0.000000,0
0.000000,-19.000000,258.000000,0.000000,0
3.161012,-15.000000,100.000000,0.000000,0
3.181012,-15.000000,100.000000,1.000000,0
3.504122,-17.000000,95.000000,1.000000,0
3.804122,-17.000000,90.000000,1.000000,0
4.104122,-17.000000,85.000000,1.000000,0
4.427232,-15.000000,90.000000,1.000000,0
5.039115,-17.000000,80.000000,1.000000,0
5.947079,-15.000000,95.000000,1.000000,0
6.550072,-17.000000,75.000000,1.000000,0
6.856013,-15.000000,65.000000,1.000000,0
7.017568,-17.000000,70.000000,1.000000,0
7.323509,-15.000000,60.000000,1.000000,0
7.485064,-17.000000,55.000000,1.000000,0
7.646619,-15.000000,50.000000,1.000000,0
7.952560,-17.000000,40.000000,1.000000,0
8.114115,-15.000000,45.000000,1.000000,0
8.420056,-17.000000,35.000000,1.000000,0
8.581611,-15.000000,40.000000,1.000000,0
9.483609,-17.000000,70.000000,1.000000,0
10.685483,-15.000000,30.000000,2.000000,0
10.847038,-17.000000,35.000000,2.000000,0
11.152979,-15.000000,25.000000,2.000000,0
11.314534,-17.000000,30.000000,2.000000,0
11.639033,-15.000000,25.000000,1.500000,0
11.808739,-17.000000,23.000000,1.500000,0
12.318739,-17.000000,23.000000,10.000000,0
14.297830,-9.000000,-9.000000,10.000000,0
14.461927,0.000000,0.000000,15.000000,0
24.861927,0.000000,0.000000,2.000000,0
25.031987,0.000000,0.000000,4.840000,0
25.189153,10.000000,10.004000,4.840000,1
50.39,490.00,10.00,4.84,1
75.58,490.00,490.00,4.84,1
100.78,10.00,490.00,4.84,1
125.98,10.00,10.00,4.84,0
126.29,30.00,30.00,4.84,1
149.39,30.00,470.00,4.84,1
172.49,470.00,470.00,4.84,1
195.58,470.00,30.00,4.84,1
218.68,30.00,30.00,4.84,0
218.98,30.00,30.00,9.84,0
219.29,10.00,10.00,9.84,1
225.59,490.00,10.00,9.84,1
231.89,490.00,490.00,9.84,1
238.19,10.00,490.00,9.84,1
244.49,10.00,10.00,9.84,0
244.80,30.00,30.00,9.84,1
250.58,30.00,470.00,9.84,1
256.35,470.00,470.00,9.84,1
262.13,470.00,30.00,9.84,1
267.90,30.00,30.00,9.84,0
268.20,30.00,30.00,14.84,0
268.51,10.00,10.00,14.84,1
274.81,490.00,10.00,14.84,1
281.11,490.00,490.00,14.84,1
287.41,10.00,490.00,14.84,1
293.71,10.00,10.00,14.84,0
294.03,30.00,30.00,14.84,1
299.80,30.00,470.00,14.84,1
305.57,470.00,470.00,14.84,1
311.35,470.00,30.00,14.84,1
317.12,30.00,30.00,14.84,0
317.42,30.00,30.00,19.84,0
317.74,10.00,10.00,19.84,1
324.04,490.00,10.00,19.84,1
330.34,490.00,490.00,19.84,1
336.63,10.00,490.00,19.84,1
342.93,10.00,10.00,19.84,0
343.25,30.00,30.00,19.84,1
349.02,30.00,470.00,19.84,1
354.80,470.00,470.00,19.84,1
360.57,470.00,30.00,19.84,1
366.34,30.00,30.00,19.84,0
366.64,30.00,30.00,24.84,0
366.96,10.00,10.00,24.84,1
373.26,490.00,10.00,24.84,1
379.56,490.00,490.00,24.84,1
385.86,10.00,490.00,24.84,1
392.16,10.00,10.00,24.84,0
392.47,30.00,30.00,24.84,1
398.24,30.00,470.00,24.84,1
404.02,470.00,470.00,24.84,1
409.79,470.00,30.00,24.84,1
415.57,30.00,30.00,24.84,0
415.87,30.00,30.00,29.84,0
416.18,10.00,10.00,29.84,1
422.48,490.00,10.00,29.84,1
428.78,490.00,490.00,29.84,1
435.08,10.00,490.00,29.84,1
